id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,kategori_soal
pu50,"Awan kelam tampaknya semakin menyelimuti industri peternakan unggas, terutama bagi para peternak mandiri. Pasalnya, sebulan sebelumnya, peternak ayam mandiri ini sempat protes ke pemerintah lantaran harga ayam di tingkat peternak ambruk sehingga peternak merugi. Tak heran apabila peternak resah dengan pelonggaran impor daging ayam itu. Perhimpunan Insan Perunggasan Rakyat Indonesia (Pinsar) menilai masuknya impor ayam berpotensi membuat penyerapan daging di peternak lokal terganggu. Namun, Dosen Universitas Indonesia Fithra Faisal Hastiadi mengatakan bahwa Indonesia terpaksa untuk meratifikasi ketentuan importasi daging ayam lantaran sudah kalah dalam Sidang Badan Penyelesaian Sengketa Organisasi Perdagangan Dunia (DSB WTO). Belum lagi, jika negara-negara lain melakukan retaliasi dengan cara menyulitkan ekspor asal Indonesia masuk ke negara-negara bersangkutan. Tentu ini akan memengaruhi kinerja neraca perdagangan Indonesia yang kondisinya saat ini masih defisit.

Berdasarkan paragraf diatas, apabila kinerja neraca perdagangan Indonesia tidak dipengaruhi oleh sistem retaliasi yang dilakukan oleh negara-negara lain dengan cara menyulitkan ekspor asal Indonesia ke negara-negara bersangkutan, manakah di bawah ini simpulan yang PALING MUNGKIN benar?","(A) Kondisi kinerja neraca perdagangan tidak mengalami defisit
(B) Peternak ayam mandiri tidak protes ke pemerintah karena harga ayam di tingkat peternak tidak ambruk
(C) Peternak tidak resah dengan pelonggaran impor daging ayam
(D) Awan kelam mungkin masih menyelimuti industri peternakan unggas di Indonesia
(E) Kondisi penyerapan daging ayam di peternak lokal/mandiri stabil",(D) Awan kelam mungkin masih menyelimuti industri peternakan unggas di Indonesia,Analisis Argumen,782,289,sulit
pu51,"Apabila sudah siap panen, mangga akan terasa empuk jika ditekan; kulitnya berwarna hijau muda; dan jika dikupas akan tercium aroma wangi. Hal-hal tersebut membuat harga jual mangga semakin tinggi.
Jika buah mangga terasa keras saat ditekan, kulitnya berwarna hijau tua, dan belum tercium aroma wangi, manakah simpulan yang benar?","(A) Buah Mangga sudah siap dijual
(B) Buah Mangga terasa enak
(C) Buah Mangga belum siap panen
(D) Buah Mangga murah harganya
(E) Buah mangga tidak terasa enak",C) Buah Mangga belum siap panen,Logika Preposisi,142,119,mudah
pu52,"Dalam beberapa bulan terakhir diberlakukan syarat bagi penumpang kereta api untuk menunjukkan tiket, KTP, dan surat keterangan sehat kepada petugas stasiun. Riki telah membeli tiket kereta api dan merasa dirinya sehat.
Simpulan berdasarkan informasi dalam teks tersebut adalah Riki dapat melakukan perjalanan dengan menggunakan kereta api.
Manakah pernyataan berikut yang menggambarkan kualitas simpulan tersebut?","(A) Simpulan tersebut pasti benar
(B) Simpulan tersebut mungkin benar
(C) Simpulan tersebut pasti salah
(D) Simpulan tidak relevan dengan informasi yang diberikan
(E) Simpulan tidak dapat dinilai karena informasi tidak cukup",(E) Simpulan tidak dapat dinilai karena informasi tidak cukup,Logika Preposisi,617,162,sulit
pu53,"Anto dan Iwan adalah dua orang juru tulis yang dapat menyelesaikan naskah proposal bersama-sama dalam waktu dua jam. Jika naskah terseut dikerjakan sendiri oleh Anto maka akan selesai tiga jam lebih lama bila dibandingkan dengan bila dikerjakan sendiri oleh Iwan. Bila Anto dan Iwan masing-masing ingin bekerja sendiri-sendiri untuk menyelesaikan naskah tersebut, maka jumlah jam yang dibutuhkan masing-masing adalah.... jam","(A) 4 dan 7
(B) 3 dan 6
(C) 2 dan 4
(D) 1 dan 4
(E) 1 dan 2",(B) 3 dan 6,Aritmatika,746,271,sulit
pu54,"Dua kali bilangan pertama ditambah empat
kali bilangan kedua akan menghasilkan 40.
Bila bilangan pertama dua kali lebih banyak
dari bilangan kedua, berapakah besarnya
bilangan pertama?","(A) 14
(B) 12
(C) 10
(D) 8
(E) 6",(C) 10,Aritmatika,938,554,sedang
pu55,"Berikut adalah beberapa kata yang diterjemahkan dari bahasa buatan.
* etherliuth berarti planet aves
* sieszether berarti aves langka
* sieszopas berarti tumbuhan langka
Kata apakah yang mungkin berarti “satelit planet”?","(A) etheropaz
(B) liuthsiesz
(C) liuthceros
(D) cerosliuth
(E) sieszliuth",(C) liuthceros,Pola Barisan,706,218,sulit
pu56,"Berikut adalah beberapa kata yang diterjemahkan dari bahasa buatan.
• moreschloe berarti rumah burung
• beelmores berarti burung hitam
• beelvotag berarti langit hitam
Kata apakah yang mungkin berarti “rumah hantu”?","(A) moreshunde
(B) beelquack
(C) chloehunde
(D) clakchloe
(E) beelchloe",(D) clakchloe,Pola Barisan,705,178,sulit
pu57,"Sebuah penelitian menunjukkan bahwa makanan manis dapat membantu menstabilkan suasana hati, menyebabkan kebahagiaan, dan mencegah depresi karena makanan manis memicu otak melepaskan hormone serotonin dan dopamine. Penelitian terbaru menunjukkan bahwa pengidap diabetes masih menikmati makanan manis selama tidak mengandung pemanis buatan.
Manakah simpulan yang PALING DIDUKUNG oleh bacaan tersebut?","(A) Psikolog menyarankan klien yang mengalami rasa sedih berlebihan untuk mengonsumsi buah-buahan yang manis
(B) Orang yang mengidap diabetes tidak diperbolehkan mengonsumsi buah-buahan yang manis
(C) Gula merupakan makanan yang paling cepat merangsang hormone dopamine dan serotonin
(D) Banyak penderita diabtes merasa tidak Bahagia karena tidak dapat mengonsumsi makanan manis
(E) Penderita diabetes memiliki hormone dopamine dan serotonin yang tinggi",(A) Psikolog menyarankan klien yang mengalami rasa sedih berlebihan untuk mengonsumsi buah-buahan yang manis,Logika Preposisi,874,30,sulit
pu58,"Pada tahun 2002 usia seorang anak sama dengan seperempat usia ibunya (dalam tahun). Jika pada tahun 2006 usia anak tersebut sepertiga usia ibunya, maka anak tersebut sebenarnya lahir pada tahun....","(A) 1988
(B) 1990
(C) 1992
(D) 1994
(E) 1996",(D) 1994,Aritmatika,277,36,sulit
pu59,"10, 30, 32, 16, 48, 50, ...","(A) 58
(B) 25
(C) 32
(D) 18
(E) 16",(B) 25,Aritmatika,39,6,sulit
pu60,"Seorang siswa mengikuti Quiz dan tidak dapat menjawab 3 pertanyaan. Jika siswa tersebut mendapat skor 85 %, maka banyaknya soal adalah....","(A) 18
(B) 45
(C) 20
(D) 100
(E) 70",(C) 20,Aritmatika,866,124,sulit
